Date,True_production,Forecast
2021-02-02_10,703.91,1211.7734
2021-02-02_11,352.02,820.97046
2021-02-02_12,384.15,310.2698
2021-02-02_13,255.18,308.46597
2021-02-02_14,164.14,183.46906
2021-02-02_15,73.88,63.492435
2021-02-02_16,4.190000000000055,13.714636
2021-02-02_17,0.0,3.4318292
2021-02-02_18,0.0,4.5225277
2021-02-02_19,0.0,5.503973
2021-02-02_20,0.0,5.3398495
2021-02-02_21,0.0,5.064642
2021-02-02_22,0.0,5.2908382
2021-02-02_23,0.0,5.51441
2021-02-03_0,0.0,5.6836605
2021-02-03_1,0.0,1.0861262
2021-02-03_2,0.0,0.0
2021-02-03_3,0.0,0.0
2021-02-03_4,0.0,0.0
2021-02-03_5,0.0,0.0
2021-02-03_6,0.0,0.8282527
2021-02-03_7,37.74000000000001,5.6057186
2021-02-03_8,150.03999999999996,116.66251
2021-02-03_9,230.02999999999997,283.08148
2021-02-03_10,393.75,335.20523
2021-02-03_11,423.49,444.0499
2021-02-03_12,773.72,404.66254
2021-02-03_13,501.86,683.9339
2021-02-03_14,353.41,351.29028
2021-02-03_15,114.13999999999999,138.07962
2021-02-03_16,1.8500000000000227,17.25614
2021-02-03_17,0.0,1.5551203
2021-02-03_18,0.0,2.803045
2021-02-03_19,0.0,3.9913385
2021-02-03_20,0.0,4.8223324
2021-02-03_21,0.0,5.0936337
2021-02-03_22,0.0,5.3031063
2021-02-03_23,0.0,5.4300594
2021-02-04_0,0.0,5.8814754
2021-02-04_1,0.0,1.8632258
2021-02-04_2,0.0,0.8335017
2021-02-04_3,0.0,0.0
2021-02-04_4,0.0,0.0
2021-02-04_5,0.0,0.0
2021-02-04_6,0.0,0.0
2021-02-04_7,3.509999999999991,2.7697809
2021-02-04_8,37.809999999999945,38.043613
2021-02-04_9,61.31,102.23875
2021-02-04_10,29.819999999999936,113.57386
2021-02-04_11,16.540000000000077,46.34946
2021-02-04_12,47.69999999999993,30.569647
2021-02-04_13,82.93,56.394382
2021-02-04_14,37.29000000000002,58.206303
2021-02-04_15,2.659999999999968,14.661016
2021-02-04_16,0.57000000000005,0.0
2021-02-04_17,0.0,0.46967113
2021-02-04_18,0.0,3.7854059
2021-02-04_19,0.0,5.337164
2021-02-04_20,0.0,5.058111
2021-02-04_21,0.0,4.692816
2021-02-04_22,0.0,4.84046
2021-02-04_23,0.0,5.1699276
2021-02-05_0,0.0,5.6262875
2021-02-05_1,0.0,1.9060115
2021-02-05_2,0.0,0.2904719
2021-02-05_3,0.0,0.0
2021-02-05_4,0.0,0.0
2021-02-05_5,0.0,0.0
2021-02-05_6,0.0,0.0
2021-02-05_7,25.55000000000001,7.3754025
2021-02-05_8,200.38,82.965675
2021-02-05_9,342.11,365.211
2021-02-05_10,300.09,480.21207
2021-02-05_11,391.46,327.3812
2021-02-05_12,376.74,356.61978
2021-02-05_13,350.5,331.62256
2021-02-05_14,290.4,250.97461
2021-02-05_15,100.39999999999998,128.47437
2021-02-05_16,2.590000000000032,18.196692
2021-02-05_17,0.0,0.0
2021-02-05_18,0.0,3.4866388
2021-02-05_19,0.0,4.5982723
2021-02-05_20,0.0,5.0203304
2021-02-05_21,0.0,5.136236
2021-02-05_22,0.0,5.2145443
2021-02-05_23,0.0,5.6989803
2021-02-06_0,0.0,5.9163876
2021-02-06_1,0.0,1.7562922
2021-02-06_2,0.0,0.7564753
2021-02-06_3,0.0,0.0
2021-02-06_4,0.0,0.0
2021-02-06_5,0.0,0.0
2021-02-06_6,0.0,0.0
2021-02-06_7,0.0,3.7725885
2021-02-06_8,21.52000000000004,31.014837
2021-02-06_9,81.56,74.17774
2021-02-06_10,178.28999999999996,146.4661
2021-02-06_11,183.63,207.54327
2021-02-06_12,238.56,170.02017
2021-02-06_13,195.56,214.65594
2021-02-06_14,80.57999999999998,139.21536
2021-02-06_15,9.209999999999923,40.3429
2021-02-06_16,0.0,0.84277904
2021-02-06_17,0.0,0.41113842
2021-02-06_18,0.0,3.6024225
2021-02-06_19,0.0,5.1330624
2021-02-06_20,0.0,4.7968197
2021-02-06_21,0.0,4.765875
2021-02-06_22,0.0,4.9242
2021-02-06_23,0.0,5.3986263
2021-02-07_0,0.0,5.958441
2021-02-07_1,0.0,1.9140071
2021-02-07_2,0.0,0.6479548
2021-02-07_3,0.0,0.0
2021-02-07_4,0.0,0.0
2021-02-07_5,0.0,0.0
2021-02-07_6,0.0,0.0
2021-02-07_7,0.0,4.568609
2021-02-07_8,0.0,31.605383
2021-02-07_9,4.340000000000032,36.16312
2021-02-07_10,35.95999999999998,46.362156
2021-02-07_11,20.079999999999984,58.612247
2021-02-07_12,20.060000000000002,34.389072
2021-02-07_13,7.259999999999991,37.204502
2021-02-07_14,3.519999999999982,11.433325
2021-02-07_15,0.0,0.5846003
2021-02-07_16,0.0,0.0
2021-02-07_17,0.0,0.0
2021-02-07_18,0.0,3.1818902
2021-02-07_19,0.0,5.234686
2021-02-07_20,0.0,4.6225033
2021-02-07_21,0.0,4.439581
2021-02-07_22,0.0,4.5340633
2021-02-07_23,0.0,4.806341
2021-02-08_0,0.0,5.4106503
